,budget,genres,id,keywords,overview,production_companies,runtime,tagline,title,vote_average,vote_count
41,35000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",9366,"[{""id"": 1568, ""name"": ""undercover""}, {""id"": 2148, ""name"": ""colombia""}, {""id"": 10391, ""name"": ""mafia""}, {""id"": 11578, ""name"": ""mobster""}, {""id"": 11719, ""name"": ""dirty cop""}, {""id"": 167715, ""name"": ""informant""}, {""id"": 177554, ""name"": ""stealing money""}, {""id"": 177555, ""name"": ""marriage counselor""}, {""id"": 177565, ""name"": ""shaving cream""}, {""id"": 177571, ""name"": ""playing cards""}]",An FBI undercover agent infilitrates the mob and finds himself identifying more with the mafia life at the expense of his regular one.,"[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Mark Johnson Productions"", ""id"": 2604}, {""name"": ""Phoenix Pictures"", ""id"": 11317}, {""name"": ""Baltimore Pictures"", ""id"": 11407}]",127.0,Based on a true story.,Donnie Brasco,7.4,1147
42,70000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",978,"[{""id"": 188, ""name"": ""buddhism""}, {""id"": 486, ""name"": ""himalaya""}, {""id"": 1201, ""name"": ""austria""}, {""id"": 1262, ""name"": ""mountains""}, {""id"": 1529, ""name"": ""buddhist monk""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 1968, ""name"": ""prisoners of war""}, {""id"": 2385, ""name"": ""monsoon""}, {""id"": 4558, ""name"": ""tibet""}, {""id"": 4559, ""name"": ""dalai lama""}, {""id"": 4560, ""name"": ""mountaineer""}, {""id"": 4561, ""name"": ""lhasa""}, {""id"": 13027, ""name"": ""wedding""}]","Austrian mountaineer, Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.","[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Mandalay Entertainment"", ""id"": 1236}, {""name"": ""Applecross"", ""id"": 57435}, {""name"": ""Reperage & Vanguard Films"", ""id"": 57436}]",136.0,At the end of the world his real journey began.,Seven Years in Tibet,7.0,630
43,92000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",1535,"[{""id"": 470, ""name"": ""spy""}, {""id"": 478, ""name"": ""china""}, {""id"": 591, ""name"": ""cia""}, {""id"": 2106, ""name"": ""cold war""}]","Veteran spy Nathan Muir is on the verge of retiring from the CIA when he learns that his one-time protÃ©gÃ© and close friend, Tom Bishop, is a political prisoner sentenced to die in Beijing. Although their friendship has been marred by bad blood and resentment, Muir agrees to take on the most dangerous mission of his career and rescue Bishop.","[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Metropolitan Filmexport"", ""id"": 656}, {""name"": ""Toho-Towa"", ""id"": 657}, {""name"": ""Red Wagon Productions"", ""id"": 780}, {""name"": ""Beacon Communications"", ""id"": 919}, {""name"": ""Kalima Productions GmbH & Co. KG"", ""id"": 7385}]",126.0,It's not how you play the game. It's how the game plays you.,Spy Game,6.8,579
44,90000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 18, ""name"": ""Drama""}]",65754,"[{""id"": 570, ""name"": ""rape""}, {""id"": 736, ""name"": ""journalist""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 917, ""name"": ""journalism""}, {""id"": 2157, ""name"": ""hacker""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 4470, ""name"": ""punk""}, {""id"": 5340, ""name"": ""investigation""}, {""id"": 9714, ""name"": ""remake""}, {""id"": 10371, ""name"": ""antisocial personality disorder""}, {""id"": 10714, ""name"": ""serial killer""}, {""id"": 10941, ""name"": ""disappearance""}, {""id"": 12361, ""name"": ""hacking""}, {""id"": 155555, ""name"": ""computer hacker""}, {""id"": 156386, ""name"": ""bible quote""}, {""id"": 197952, ""name"": ""scandinavian""}, {""id"": 207691, ""name"": ""abuse""}]","This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.","[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Film Rites"", ""id"": 8083}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Yellow Bird"", ""id"": 33817}, {""name"": ""Ground Control"", ""id"": 47479}]",158.0,Evil shall with evil be expelled.,The Girl with the Dragon Tattoo,7.2,2434
45,100000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",106646,"[{""id"": 417, ""name"": ""corruption""}, {""id"": 572, ""name"": ""sex""}, {""id"": 738, ""name"": ""sexuality""}, {""id"": 974, ""name"": ""bank""}, {""id"": 3923, ""name"": ""humor""}, {""id"": 5565, ""name"": ""biography""}, {""id"": 5636, ""name"": ""wall street""}, {""id"": 5809, ""name"": ""marriage crisis""}, {""id"": 6974, ""name"": ""rise and fall""}, {""id"": 10631, ""name"": ""stockbroker""}, {""id"": 14964, ""name"": ""drug""}, {""id"": 179018, ""name"": ""stock broker""}]","A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.","[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Appian Way"", ""id"": 562}, {""name"": ""EMJAG Productions"", ""id"": 14654}, {""name"": ""Red Granite Pictures"", ""id"": 19177}, {""name"": ""Sikelia Productions"", ""id"": 23243}]",180.0,EARN. SPEND. PARTY.,The Wolf of Wall Street,7.9,6571
46,52000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]",524,"[{""id"": 383, ""name"": ""poker""}, {""id"": 726, ""name"": ""drug abuse""}, {""id"": 1228, ""name"": ""1970s""}, {""id"": 2635, ""name"": ""overdose""}, {""id"": 33625, ""name"": ""illegal prostitution""}]",The life of the gambling paradise â Las Vegas â and its dark mafia underbelly.,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Légende Entreprises"", ""id"": 10898}, {""name"": ""Syalis DA"", ""id"": 11583}, {""name"": ""De Fina-Cappa"", ""id"": 11584}]",178.0,No one stays at the top forever.,Casino,7.8,1307
47,92000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",855,"[{""id"": 1968, ""name"": ""prisoners of war""}, {""id"": 2820, ""name"": ""wound""}, {""id"": 4265, ""name"": ""somalia""}, {""id"": 4267, ""name"": ""warlord""}, {""id"": 4337, ""name"": ""famine""}, {""id"": 10174, ""name"": ""delta force""}, {""id"": 222529, ""name"": ""rescue operation""}]","When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.","[{""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Revolution Studios"", ""id"": 497}, {""name"": ""Scott Free Productions"", ""id"": 1645}]",144.0,Leave No Man Behind.,Black Hawk Down,7.2,1811
48,46000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",146233,"[{""id"": 904, ""name"": ""pennsylvania""}, {""id"": 1930, ""name"": ""kidnapping""}, {""id"": 2158, ""name"": ""maze""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 11004, ""name"": ""rural setting""}, {""id"": 166625, ""name"": ""candlelight vigil""}]","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?","[{""name"": ""Alcon Entertainment"", ""id"": 1088}, {""name"": ""Madhouse Entertainment"", ""id"": 12199}, {""name"": ""8:38 Productions"", ""id"": 18208}]",153.0,Every moment matters.,Prisoners,7.9,3085
49,50000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}]",72105,"[{""id"": 6054, ""name"": ""friendship""}, {""id"": 9673, ""name"": ""love""}, {""id"": 158162, ""name"": ""teddy bear""}, {""id"": 187065, ""name"": ""toy comes to life""}, {""id"": 187084, ""name"": ""wishes come true""}]","John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.","[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Media Rights Capital"", ""id"": 2531}, {""name"": ""Fuzzy Door Productions"", ""id"": 8789}]",106.0,Ted is coming.,Ted,6.3,4697
50,90000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",1422,"[{""id"": 1568, ""name"": ""undercover""}, {""id"": 1680, ""name"": ""boston""}, {""id"": 6149, ""name"": ""police""}, {""id"": 9713, ""name"": ""friends""}, {""id"": 10391, ""name"": ""mafia""}, {""id"": 11199, ""name"": ""undercover cop""}, {""id"": 11578, ""name"": ""mobster""}, {""id"": 14617, ""name"": ""mole""}, {""id"": 177235, ""name"": ""state police""}, {""id"": 177258, ""name"": ""police training""}, {""id"": 177259, ""name"": ""realtor""}]","To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.","[{""name"": ""Vertigo Entertainment"", ""id"": 829}, {""name"": ""Media Asia Films"", ""id"": 5552}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Initial Entertainment Group (IEG)"", ""id"": 7380}, {""name"": ""Plan B Entertainment"", ""id"": 45778}]",151.0,Lies. Betrayal. Sacrifice. How far will you take it?,The Departed,7.9,4339
51,65000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10752, ""name"": ""War""}]",1271,"[{""id"": 3597, ""name"": ""evisceration""}, {""id"": 5538, ""name"": ""javelin""}, {""id"": 5539, ""name"": ""shield""}, {""id"": 6092, ""name"": ""army""}, {""id"": 8637, ""name"": ""fall from height""}, {""id"": 14704, ""name"": ""ancient world""}, {""id"": 171603, ""name"": ""s.a.t.""}, {""id"": 190999, ""name"": ""minions""}]","Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.","[{""name"": ""Virtual Studios"", ""id"": 449}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Hollywood Gang Productions"", ""id"": 2994}, {""name"": ""Atmosphere Entertainment MM"", ""id"": 2995}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Nimar Studios"", ""id"": 7636}, {""name"": ""Cruel and Unusual Films"", ""id"": 78685}]",117.0,"Spartans, prepare for glory!",300,7.0,4997
52,70000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",16869,"[{""id"": 90, ""name"": ""paris""}, {""id"": 1008, ""name"": ""guerrilla""}, {""id"": 1388, ""name"": ""cinema""}, {""id"": 1430, ""name"": ""self sacrifice""}, {""id"": 1560, ""name"": ""dynamite""}, {""id"": 1666, ""name"": ""mexican standoff""}, {""id"": 1956, ""name"": ""world war ii""}, {""id"": 2433, ""name"": ""jew persecution""}, {""id"": 2606, ""name"": ""jew""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 3260, ""name"": ""masochism""}, {""id"": 4426, ""name"": ""sadism""}, {""id"": 5470, ""name"": ""scalp""}, {""id"": 6538, ""name"": ""winston churchill""}, {""id"": 9851, ""name"": ""knife in hand""}, {""id"": 10144, ""name"": ""anti semitism""}, {""id"": 10292, ""name"": ""gore""}, {""id"": 11105, ""name"": ""swastika""}, {""id"": 11249, ""name"": ""blood bath""}, {""id"": 13519, ""name"": ""german occupation of france""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 163656, ""name"": ""gun violence""}]","In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.","[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""A Band Apart"", ""id"": 59}, {""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Zehnte Babelsberg"", ""id"": 6817}, {""name"": ""Visiona Romantica"", ""id"": 6818}]",153.0,Once upon a time in Nazi occupied France...,Inglourious Basterds,7.9,6430
53,19000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",9737,"[{""id"": 416, ""name"": ""miami""}, {""id"": 703, ""name"": ""detective""}, {""id"": 772, ""name"": ""handcuffs""}, {""id"": 822, ""name"": ""airport""}, {""id"": 1666, ""name"": ""mexican standoff""}, {""id"": 3688, ""name"": ""strip club""}, {""id"": 4009, ""name"": ""witness protection""}, {""id"": 9844, ""name"": ""car crash""}, {""id"": 11730, ""name"": ""internal affairs""}, {""id"": 12371, ""name"": ""gunfight""}, {""id"": 14601, ""name"": ""explosion""}, {""id"": 14707, ""name"": ""brutality""}, {""id"": 14967, ""name"": ""foot chase""}, {""id"": 15483, ""name"": ""car chase""}, {""id"": 18026, ""name"": ""drug lord""}, {""id"": 166856, ""name"": ""hangar""}, {""id"": 167114, ""name"": ""loose cannon""}, {""id"": 167115, ""name"": ""bust""}, {""id"": 167119, ""name"": ""reference to skittles""}, {""id"": 167124, ""name"": ""black cop""}, {""id"": 167128, ""name"": ""badge""}, {""id"": 219404, ""name"": ""action hero""}, {""id"": 226376, ""name"": ""corrupt cop""}]","Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.","[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Don Simpson/Jerry Bruckheimer Films"", ""id"": 10288}]",118.0,Whatcha gonna do?,Bad Boys,6.5,1699
54,100000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 37, ""name"": ""Western""}]",68718,"[{""id"": 801, ""name"": ""bounty hunter""}, {""id"": 1701, ""name"": ""hero""}, {""id"": 3136, ""name"": ""plantation""}, {""id"": 3679, ""name"": ""society""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 9713, ""name"": ""friends""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 9823, ""name"": ""rivalry""}, {""id"": 10084, ""name"": ""rescue""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 12425, ""name"": ""racism""}, {""id"": 15017, ""name"": ""danger""}, {""id"": 33780, ""name"": ""dentist""}, {""id"": 160324, ""name"": ""django""}, {""id"": 163129, ""name"": ""dual role""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 187376, ""name"": ""odd couple""}, {""id"": 188772, ""name"": ""black slave""}, {""id"": 202703, ""name"": ""deadly""}, {""id"": 206687, ""name"": ""chases and races""}, {""id"": 207928, ""name"": ""19th century""}]","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""The Weinstein Company"", ""id"": 308}]",165.0,"Life, liberty and the pursuit of vengeance.",Django Unchained,7.8,10099
55,45000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}]",8292,"[{""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 642, ""name"": ""robbery""}, {""id"": 1679, ""name"": ""arbitrary law""}, {""id"": 8018, ""name"": ""adoptive mother""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 18021, ""name"": ""detroit""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 179468, ""name"": ""interracial adoption""}]",Four adopted brothers return to their Detroit hometown when their mother is murdered and vow to exact revenge on the killers.,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Di Bonaventura Pictures"", ""id"": 435}]",109.0,They came home to bury mom... and her killer,Four Brothers,6.7,607
56,215000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",1930,"[{""id"": 1872, ""name"": ""loss of father""}, {""id"": 7002, ""name"": ""vigilante""}, {""id"": 8803, ""name"": ""serum""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 156855, ""name"": ""scientific experiment""}, {""id"": 158124, ""name"": ""spider bite""}, {""id"": 158456, ""name"": ""masked vigilante""}, {""id"": 161184, ""name"": ""reboot""}, {""id"": 163455, ""name"": ""super powers""}, {""id"": 163561, ""name"": ""genetic engineering""}, {""id"": 171556, ""name"": ""social outcast""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance â leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Entertainment"", ""id"": 7505}]",136.0,The untold story begins.,The Amazing Spider-Man,6.5,6586
57,258000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",559,"[{""id"": 851, ""name"": ""dual identity""}, {""id"": 1453, ""name"": ""amnesia""}, {""id"": 1965, ""name"": ""sandstorm""}, {""id"": 2038, ""name"": ""love of one's life""}, {""id"": 3446, ""name"": ""forgiveness""}, {""id"": 3986, ""name"": ""spider""}, {""id"": 4391, ""name"": ""wretch""}, {""id"": 4959, ""name"": ""death of a friend""}, {""id"": 5776, ""name"": ""egomania""}, {""id"": 5789, ""name"": ""sand""}, {""id"": 5857, ""name"": ""narcism""}, {""id"": 6062, ""name"": ""hostility""}, {""id"": 8828, ""name"": ""marvel comic""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9715, ""name"": ""superhero""}, {""id"": 9748, ""name"": ""revenge""}]","The seemingly invincible Spider-Man goes up against an all-new crop of villain â including the shape-shifting Sandman. While Spider-Manâs superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.","[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",139.0,The battle within.,Spider-Man 3,5.9,3576
58,28000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",562,"[{""id"": 720, ""name"": ""helicopter""}, {""id"": 736, ""name"": ""journalist""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 949, ""name"": ""terrorist""}, {""id"": 1418, ""name"": ""skyscraper""}, {""id"": 1441, ""name"": ""christmas party""}, {""id"": 1470, ""name"": ""s.w.a.t.""}, {""id"": 1562, ""name"": ""hostage""}, {""id"": 1930, ""name"": ""kidnapping""}, {""id"": 1953, ""name"": ""vault""}, {""id"": 5572, ""name"": ""fistfight""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10051, ""name"": ""heist""}, {""id"": 10950, ""name"": ""shootout""}, {""id"": 12670, ""name"": ""los angeles""}, {""id"": 13116, ""name"": ""one man army""}, {""id"": 14601, ""name"": ""explosion""}, {""id"": 14819, ""name"": ""violence""}, {""id"": 18525, ""name"": ""fbi agent""}, {""id"": 33553, ""name"": ""walkie talkie""}, {""id"": 33965, ""name"": ""christmas eve""}, {""id"": 162304, ""name"": ""elevator shaft""}, {""id"": 162914, ""name"": ""one night""}, {""id"": 219404, ""name"": ""action hero""}]","NYPD cop, John McClane's plan to reconcile with his estranged wife is thrown for a serious loop when minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.","[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Gordon Company"", ""id"": 1073}, {""name"": ""Silver Pictures"", ""id"": 1885}]",131.0,40 Stories. Twelve Terrorists. One Cop.,Die Hard,7.5,3948
59,63000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",603,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 312, ""name"": ""man vs machine""}, {""id"": 490, ""name"": ""philosophy""}, {""id"": 530, ""name"": ""prophecy""}, {""id"": 779, ""name"": ""martial arts""}, {""id"": 1430, ""name"": ""self sacrifice""}, {""id"": 1721, ""name"": ""fight""}, {""id"": 3074, ""name"": ""insurgence""}, {""id"": 4563, ""name"": ""virtual reality""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 6256, ""name"": ""truth""}, {""id"": 12190, ""name"": ""cyberpunk""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 194063, ""name"": ""messiah""}, {""id"": 221385, ""name"": ""gnosticism""}]","Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.","[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Groucho II Film Partnership"", ""id"": 372}, {""name"": ""Silver Pictures"", ""id"": 1885}, {""name"": ""Warner Bros."", ""id"": 6194}]",136.0,Welcome to the Real World.,The Matrix,7.9,8907
60,55000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",13,"[{""id"": 422, ""name"": ""vietnam veteran""}, {""id"": 458, ""name"": ""hippie""}, {""id"": 791, ""name"": ""mentally disabled""}, {""id"": 795, ""name"": ""running""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 2956, ""name"": ""vietnam""}, {""id"": 2957, ""name"": ""vietnam war""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 9673, ""name"": ""love""}, {""id"": 10235, ""name"": ""family relationships""}, {""id"": 10624, ""name"": ""bully""}, {""id"": 157499, ""name"": ""mother son relationship""}, {""id"": 162365, ""name"": ""military""}, {""id"": 162934, ""name"": ""hugging""}, {""id"": 166980, ""name"": ""shrimping""}, {""id"": 180204, ""name"": ""wounded soldier""}, {""id"": 187844, ""name"": ""flashback""}, {""id"": 208143, ""name"": ""park bench""}, {""id"": 215492, ""name"": ""amputee""}]","A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.","[{""name"": ""Paramount Pictures"", ""id"": 4}]",142.0,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,8.2,7927
61,125000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",131631,"[{""id"": 836, ""name"": ""resistance""}, {""id"": 4458, ""name"": ""post-apocalyptic""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 6091, ""name"": ""war""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 11322, ""name"": ""female protagonist""}, {""id"": 18101, ""name"": ""bow and arrow""}, {""id"": 18249, ""name"": ""game""}, {""id"": 162484, ""name"": ""future war""}, {""id"": 162845, ""name"": ""revolt""}, {""id"": 165299, ""name"": ""class prejudice""}, {""id"": 207569, ""name"": ""human subjugation""}, {""id"": 223438, ""name"": ""based on young adult novel""}]",Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,"[{""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Color Force"", ""id"": 5420}]",123.0,Fire burns brighter in the darkness,The Hunger Games: Mockingjay - Part 1,6.6,5584
62,130000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",101299,"[{""id"": 271, ""name"": ""competition""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1310, ""name"": ""mentor""}, {""id"": 1328, ""name"": ""secret""}, {""id"": 1382, ""name"": ""factory""}, {""id"": 2136, ""name"": ""television""}, {""id"": 2903, ""name"": ""propaganda""}, {""id"": 2964, ""name"": ""future""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 5740, ""name"": ""alliance""}, {""id"": 6186, ""name"": ""games""}, {""id"": 8570, ""name"": ""president""}, {""id"": 8862, ""name"": ""uprising""}, {""id"": 9663, ""name"": ""sequel""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10349, ""name"": ""survival""}, {""id"": 10410, ""name"": ""conspiracy""}, {""id"": 11196, ""name"": ""rebellion""}, {""id"": 11221, ""name"": ""blood""}, {""id"": 11322, ""name"": ""female protagonist""}, {""id"": 12380, ""name"": ""tournament""}, {""id"": 14601, ""name"": ""explosion""}, {""id"": 15017, ""name"": ""danger""}, {""id"": 156395, ""name"": ""imax""}, {""id"": 171956, ""name"": ""winner""}, {""id"": 223438, ""name"": ""based on young adult novel""}]","Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.","[{""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Color Force"", ""id"": 5420}]",146.0,Every revolution begins with a spark.,The Hunger Games: Catching Fire,7.4,6495
